name,url,covers,tier,note
World Bank WITS,https://wits.worldbank.org/CountryProfile/en/PHL,"Annual exports, imports and partner shares",secondary,Compiled from UN Comtrade
Philippine Statistics Authority trade statistics,https://psa.gov.ph/statistics/export-import,"Recent monthly and annual merchandise trade",primary,"psa.gov.ph is not reachable by script; figures reported via press coverage"
