period,exports_usd_b,imports_usd_b,note,source
2024 full year,73.27,127.60,Trade gap widened to -USD 54.3B,PSA
2025 full year,84.40,,Exports YoY growth strong,PSA via news
2026 Q1,22.70,35.50,Exp +12.7% YoY · Imp +8.9% YoY,PSA via news
