country,value_usd_b,share_pct
China,30.93,23.1
Indonesia,12.28,9.2
Japan,10.92,8.2
United States,9.11,6.8
South Korea,8.88,6.6
Thailand,8.19,6.1
Singapore,7.39,5.5
Malaysia,6.23,4.7
