name,url,covers,tier,note
Ember yearly electricity data,https://ember-energy.org/data/yearly-electricity-data/,"Generation by fuel and coal share, Philippines and Southeast Asian peers, 2000 onward",secondary,Ember compiles national statistics into a comparable series
Meralco rate advisories,https://company.meralco.com.ph/news-and-advisories/rates-archives,"Monthly all-in residential rate per kWh",primary,Published monthly by the distribution utility; parsed from advisory pages
