race,region,candidate,votes,region_total,basis,revid,source
president,X,Others,120434,2465619,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XI,Marcos,2090787,2505064,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XI,Robredo,136106,2505064,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XI,Pacquiao,203187,2505064,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XI,Others,74984,2505064,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XII,Marcos,1270261,2021333,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XII,Robredo,258810,2021333,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XII,Pacquiao,401322,2021333,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XII,Others,90940,2021333,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XIII,Marcos,977843,1492334,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XIII,Robredo,294131,1492334,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XIII,Pacquiao,169895,1492334,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,XIII,Others,50465,1492334,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,BARMM,Marcos,1105812,1945330,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,BARMM,Robredo,521333,1945330,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,BARMM,Pacquiao,39062,1945330,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,BARMM,Others,279123,1945330,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,Absentee,Marcos,543251,732392,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,Absentee,Robredo,143281,732392,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,Absentee,Pacquiao,6282,732392,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,Absentee,Others,39578,732392,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,I,Duterte,2146327,2967237,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,I,Pangilinan,212472,2967237,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,I,Sotto,503075,2967237,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,I,Others,105363,2967237,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,CAR,Duterte,683414,878746,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,CAR,Pangilinan,69066,878746,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,CAR,Sotto,96754,878746,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,CAR,Others,29512,878746,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,II,Duterte,1400203,1816756,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,II,Pangilinan,138403,1816756,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,II,Sotto,222702,1816756,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,II,Others,55448,1816756,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,III,Duterte,3264777,6070300,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,III,Pangilinan,930863,6070300,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,III,Sotto,1576940,6070300,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,III,Others,297720,6070300,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,NCR,Duterte,3206709,5859777,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,NCR,Pangilinan,1212379,5859777,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,NCR,Sotto,926197,5859777,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,NCR,Others,514492,5859777,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-A,Duterte,3614018,7366829,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-A,Pangilinan,1582160,7366829,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-A,Sotto,1694615,7366829,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-A,Others,476036,7366829,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-B,Duterte,684689,1535609,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
