bidding_zone,country,timestamp_utc,price,unit,source
DE-LU,Germany,2025-01-02 05:00,67.13,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 06:00,98.83,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 07:00,121.53,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 08:00,127.23,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 09:00,126.35,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 10:00,119.97,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 11:00,115.95,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 12:00,113.9,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 13:00,122.21,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 14:00,130.11,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 15:00,138.59,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 16:00,152.87,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 17:00,152.94,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 18:00,139.15,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
