name,url,covers,tier,note
DOH-Epidemiology Bureau dengue data (via HDX),https://data.humdata.org/dataset/doh-epi-dengue-data-2016-2021,"Province-week cases and deaths, 2016-2021",primary,PIDSR surveillance redistributed by the Humanitarian Data Exchange
DOH press releases,https://doh.gov.ph/,"Nationwide annual totals, 2022-2026",primary,"Reported via PNA, Manila Times and Statista; doh.gov.ph is not reachable by script"
ENA portal API (EMBL-EBI),https://www.ebi.ac.uk/ena/portal/api/,"Dengue virus sequence and run metadata for the Philippines",primary,"Queried as tax_tree(12637) AND country=Philippines"
