indicator,first_year,last_year,points,gap_years_inside_range,source
remittances_usd,1977,2025,49,0,World Bank World Development Indicators API v2
remittances_pct_gdp,1977,2025,49,0,World Bank World Development Indicators API v2
net_migration,1960,2025,66,0,World Bank World Development Indicators API v2
gdp_usd,1960,2025,66,0,World Bank World Development Indicators API v2
exports_goods_services_usd,1981,2025,45,0,World Bank World Development Indicators API v2
fdi_net_inflows_usd,1970,2025,56,0,World Bank World Development Indicators API v2
