head_sex,households,median_income,median_members,source
Male,32483,161550.0,5.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
Female,9061,175560.0,4.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
