metric,value,note,source
gini,0.4438,"computed from the 41,544 unweighted household records",PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
top_1pct_income_share,8.14,,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
median_income_agricultural,105157.0,,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
median_income_non_agricultural,182696.0,,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
