metric,value,note,source
route_relations,851,all mapped transport routes in the box,OpenStreetMap via Overpass API
share_taxi_routes,26,"jeepney routes mapped in OSM; the real network runs to thousands, so this is a floor on mapping, not a count of the system",OpenStreetMap via Overpass API
bus_routes,803,,OpenStreetMap via Overpass API
rail_routes,14,,OpenStreetMap via Overpass API
rail_stations,49,,OpenStreetMap via Overpass API
road_stops,4389,,OpenStreetMap via Overpass API
stop_nodes_total,4438,,OpenStreetMap via Overpass API
