metric,value,as_of,source
confirmed_deaths,66864,2026-07-19,"Our World in Data, compact.csv"
excess_deaths,290774,2026-07-19,"Our World in Data, compact.csv"
undercount_multiple,4.3,2026-07-19,"Our World in Data, compact.csv"
unattributed_deaths,223910,2026-07-19,"Our World in Data, compact.csv"
