metric,value,as_of,source
paired_days,1088,2026-07-19,"Our World in Data, compact.csv"
first_paired,2020-01-01,2026-07-19,"Our World in Data, compact.csv"
last_paired,2022-12-31,2026-07-19,"Our World in Data, compact.csv"
max_stringency,100.0,2026-07-19,"Our World in Data, compact.csv"
mean_stringency,58.9,2026-07-19,"Our World in Data, compact.csv"
pearson_r_same_day,0.259,2026-07-19,"Our World in Data, compact.csv"
