metric,value,as_of,source
total_cases,4173631,2026-07-19,"Our World in Data, compact.csv"
total_deaths,66864,2026-07-19,"Our World in Data, compact.csv"
people_vaccinated,82684776,2026-07-19,"Our World in Data, compact.csv"
people_fully_vaccinated,78443970,2026-07-19,"Our World in Data, compact.csv"
total_boosters,23811248,2026-07-19,"Our World in Data, compact.csv"
excess_deaths_cumulative,290774,2026-07-19,"Our World in Data, compact.csv"
case_fatality_pct,1.6,2026-07-19,"Our World in Data, compact.csv"
