year,cases,deaths,peak_daily_cases,mean_stringency,as_of,source
2020,472523,9230,6638,65.8,2026-07-19,"Our World in Data, compact.csv"
2021,2371346,42274,26238,72.8,2026-07-19,"Our World in Data, compact.csv"
2022,1218790,13893,38867,36.8,2026-07-19,"Our World in Data, compact.csv"
2023,134620,1403,4186,,2026-07-19,"Our World in Data, compact.csv"
2024,8183,69,3219,,2026-07-19,"Our World in Data, compact.csv"
2025,0,0,0,,2026-07-19,"Our World in Data, compact.csv"
2026,0,0,0,,2026-07-19,"Our World in Data, compact.csv"
