name,url,covers,tier,note
World Bank World Development Indicators,https://data.worldbank.org/country/philippines,"Central government revenue, expense, tax and interest payments, 1990-2024",secondary,Central government perimeter
IMF DataMapper (World Economic Outlook),https://www.imf.org/external/datamapper/GGXWDG_NGDP@WEO/PHL,"General government debt, balance, revenue and expenditure, 1989 onward",secondary,"General government perimeter; includes projections, flagged separately"
