indicator,first_year,last_year,points,gap_years_inside_range,source
poverty_national_pct,2015,2023,4,5,World Bank World Development Indicators API v2
poverty_215usd_pct,1985,2023,14,25,World Bank World Development Indicators API v2
poverty_365usd_pct,1985,2023,14,25,World Bank World Development Indicators API v2
gini,1985,2023,14,25,World Bank World Development Indicators API v2
income_share_bottom_20,1985,2023,14,25,World Bank World Development Indicators API v2
income_share_top_10,1985,2023,14,25,World Bank World Development Indicators API v2
unemployment_pct,1991,2025,35,0,World Bank World Development Indicators API v2
vulnerable_employment_pct,1991,2025,35,0,World Bank World Development Indicators API v2
gni_per_capita_usd,1962,2025,64,0,World Bank World Development Indicators API v2
