name,url,covers,tier,note
World Food Programme food prices (via HDX),https://data.humdata.org/dataset/wfp-food-prices-for-philippines,"Retail and wholesale rice prices by market and variety, 2000-2020",secondary,WFP's market monitoring redistributed by the Humanitarian Data Exchange
DA Bantay Presyo price monitoring,https://www.da.gov.ph/price-monitoring/,"Daily NCR retail and wholesale rice prices, 2018 onward",primary,Department of Agriculture daily price bulletins; parsed from PDF
