commodity,category,year,median_php_per_kg,median_usd_per_kg,markets,observations,source
Fish (tilapia),"meat, fish and eggs",2025,173.75,3.01,69,822,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (tilapia),"meat, fish and eggs",2026,180.0,3.0,69,409,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2008,142.81,3.16,13,137,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2009,150.0,3.155,12,140,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2010,181.13,4.045,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2012,190.0,4.54,11,90,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2013,190.0,4.645,11,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2014,260.53,5.875,13,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2015,178.51,3.91,10,79,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2016,175.0,3.74,10,75,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2017,162.0,3.205,9,62,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2018,175.0,3.35,9,78,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2019,180.77,3.5,8,33,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2020,240.77,4.94,16,111,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2021,141.25,2.89,53,632,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2022,134.5,2.48,37,443,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2023,147.13,2.63,37,443,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2024,158.04,2.78,37,442,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2025,167.75,2.93,40,465,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2026,165.0,2.76,40,240,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2020,155.46,3.165,74,582,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2021,115.71,2.35,50,591,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2022,100.0,1.845,52,620,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2023,96.25,1.73,52,619,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2024,150.0,2.61,52,617,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2025,166.88,2.91,66,719,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2026,147.5,2.445,66,394,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2020,95.77,1.955,69,528,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2021,94.38,1.93,50,592,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2022,103.33,1.88,43,516,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2023,111.25,1.99,43,515,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2024,113.33,1.99,43,512,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2025,118.33,2.06,43,513,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2026,120.83,2.01,43,255,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2012,87.23,2.11,14,107,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2013,88.82,2.18,14,53,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2020,80.0,1.61,34,217,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2021,79.38,1.63,11,129,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2022,93.38,1.705,13,156,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2023,99.38,1.795,13,152,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2024,108.75,1.89,13,153,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2025,114.17,1.98,13,154,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2026,112.67,1.885,13,78,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (white),cereals and tubers,2020,28.0,0.57,7,31,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (white),cereals and tubers,2021,27.83,0.575,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (white),cereals and tubers,2022,29.75,0.58,1,4,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2020,23.0,0.465,15,96,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2021,24.22,0.49,12,144,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2022,27.25,0.51,12,143,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2023,31.19,0.565,13,146,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2024,34.28,0.595,13,154,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2025,32.76,0.57,17,158,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2026,35.83,0.59,13,77,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2020,50.57,1.045,30,126,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2021,51.25,1.05,26,304,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2022,49.02,0.905,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2023,58.33,1.055,11,132,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2024,60.0,1.05,11,131,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2025,63.33,1.12,11,131,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2026,70.0,1.185,11,66,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2020,120.0,2.455,69,508,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2021,128.61,2.62,54,636,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2022,145.0,2.665,48,576,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2023,151.04,2.71,48,572,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2024,151.73,2.64,48,574,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2025,156.25,2.745,48,572,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2026,160.0,2.65,48,287,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2020,92.06,1.875,24,114,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2021,108.75,2.22,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2022,113.33,2.12,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2023,131.88,2.335,4,44,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2024,138.75,2.43,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2025,132.5,2.35,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2026,135.0,2.27,4,23,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2020,310.0,6.32,77,592,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2021,343.75,6.94,71,843,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2022,383.75,7.005,62,740,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2023,401.25,7.21,62,736,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2024,415.25,7.275,62,734,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2025,438.75,7.63,62,735,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2026,447.25,7.48,62,367,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2008,185.08,4.11,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2009,168.57,3.54,16,190,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2010,201.91,4.435,1,10,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2011,178.0,4.11,16,190,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2012,179.75,4.235,17,182,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2013,180.35,4.43,17,81,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2014,187.85,4.26,17,81,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2015,184.62,4.045,16,174,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2016,188.94,3.965,16,188,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2017,200.0,3.9,17,187,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2018,220.0,4.15,17,196,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2019,230.0,4.4,17,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2020,240.0,4.93,77,590,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2021,282.86,5.8,72,853,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2022,320.0,5.85,72,856,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2023,331.25,5.95,72,854,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2024,343.5,5.985,72,858,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2025,366.25,6.355,74,870,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2026,380.0,6.32,74,438,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2008,117.77,2.7,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2009,124.95,2.62,16,192,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2010,127.87,2.81,14,161,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2011,124.96,2.895,16,190,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2012,126.67,3.0,17,183,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2013,130.0,3.17,16,81,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2014,139.01,3.125,17,80,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2015,136.64,2.97,16,189,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2016,139.31,2.92,16,185,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2017,142.88,2.84,17,197,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2018,150.0,2.84,17,196,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2019,146.06,2.805,17,84,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2020,154.36,3.16,77,602,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2021,176.25,3.57,68,805,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2022,193.75,3.55,64,758,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2023,199.5,3.58,64,758,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2024,200.0,3.48,64,761,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2025,215.0,3.75,64,761,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2026,212.5,3.57,64,379,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2000,89.6,2.13,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2001,94.11,1.855,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2002,94.0,1.81,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2003,93.3,1.735,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2004,112.54,2.02,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2005,119.56,2.16,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2006,118.67,2.33,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2007,120.0,2.705,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2008,139.75,3.08,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2009,164.08,3.47,17,200,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2010,160.0,3.605,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2011,177.78,4.09,17,204,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2012,175.46,4.13,17,190,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2013,178.8,4.2,17,107,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2014,190.77,4.27,17,127,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2015,190.92,4.215,17,192,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2016,189.62,4.0,17,202,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2017,204.04,4.08,17,203,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2018,220.0,4.15,17,200,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2019,216.78,4.175,17,110,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2020,222.5,4.55,80,583,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2021,291.25,5.89,66,783,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2022,318.75,5.75,78,929,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2023,315.63,5.65,78,925,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2024,327.07,5.71,78,930,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2025,358.33,6.24,78,927,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),"meat, fish and eggs",2026,339.75,5.67,78,463,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2020,175.96,3.58,73,570,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2021,269.68,5.475,4,44,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2022,271.25,4.975,4,44,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2023,282.5,5.045,4,40,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2024,290.0,5.07,4,43,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2025,295.0,5.125,4,44,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2026,290.0,4.87,4,23,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2020,200.0,4.05,78,605,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2021,253.7,5.16,75,889,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2022,290.0,5.21,72,852,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2023,288.75,5.16,72,852,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2024,296.25,5.17,72,853,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2025,323.75,5.63,73,865,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2026,307.32,5.15,73,432,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),vegetables and fruits,2008,83.81,1.845,17,196,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),vegetables and fruits,2009,65.68,1.37,17,201,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),vegetables and fruits,2010,58.2,1.315,17,202,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),vegetables and fruits,2012,81.58,1.94,17,166,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
