commodity,region,year,median_php_per_kg,markets,observations,source
Meat (pork),Region X,2025,361.25,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region II,2025,360.0,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region VI,2025,358.33,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region VIII,2025,354.69,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region VII,2025,352.82,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Cordillera Administrative region,2025,350.75,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region IX,2025,346.84,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region I,2025,341.88,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Autonomous region in Muslim Mindanao,2025,335.0,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region XII,2025,327.25,4,46,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region VIII,2025,182.5,4,43,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region XI,2025,178.5,5,55,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region XII,2025,176.25,3,35,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region VII,2025,169.38,2,24,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region VI,2025,167.44,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region XIII,2025,165.63,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region IX,2025,165.0,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Autonomous region in Muslim Mindanao,2025,164.69,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region V,2025,164.07,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region IV-B,2025,163.75,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region X,2025,163.75,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Cordillera Administrative region,2025,157.5,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region IV-A,2025,153.07,5,40,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),National Capital region,2025,151.64,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region II,2025,146.88,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region III,2025,146.25,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (red),Region I,2025,141.25,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Autonomous region in Muslim Mindanao,2025,44.56,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region VIII,2025,44.46,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region X,2025,44.0,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region VI,2025,43.85,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Cordillera Administrative region,2025,43.74,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region VII,2025,43.69,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region IV-A,2025,42.75,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region XI,2025,42.22,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region V,2025,41.95,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region XIII,2025,41.69,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region IV-B,2025,41.63,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region IX,2025,41.46,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",National Capital region,2025,40.66,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region I,2025,40.46,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region XII,2025,40.31,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region III,2025,39.3,7,84,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",Region II,2025,35.22,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region IV-B,2025,108.75,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region V,2025,108.75,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region IV-A,2025,101.63,5,43,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region VIII,2025,101.0,6,70,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region VI,2025,97.88,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region VII,2025,94.07,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Autonomous region in Muslim Mindanao,2025,89.0,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region XIII,2025,86.25,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region X,2025,83.13,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,National Capital region,2025,78.1,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region IX,2025,73.58,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region III,2025,73.32,7,84,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region II,2025,63.44,2,24,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region XI,2025,62.94,5,58,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Cordillera Administrative region,2025,62.5,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region I,2025,61.0,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,Region XII,2025,54.07,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
