pmo,port_type,ship_type,movement_type,month,year,mont_year,Quarter,   count   
pmo cip,cpa port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,2
pmo cip,cpa port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Container,domestic,january,2022,Jan-22,Q1_2022,3
pmo cip,cpa port,Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,2
pmo cip,cpa port,Container,foreign,january,2022,Jan-22,Q1_2022,29
pmo cip,cpa port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,8
pmo cip,private port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,3
pmo cip,private port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,2
pmo pier 4,cpa port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,14
pmo pier 4,cpa port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Container,domestic,january,2022,Jan-22,Q1_2022,73
pmo pier 4,cpa port,Roro,domestic,january,2022,Jan-22,Q1_2022,349
pmo pier 4,cpa port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,3
pmo pier 4,cpa port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,11
pmo pier 4,cpa port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,22
pmo pier 3,cpa port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,33
pmo pier 3,cpa port,Barge,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Container,domestic,january,2022,Jan-22,Q1_2022,9
pmo pier 3,cpa port,Roro,domestic,january,2022,Jan-22,Q1_2022,99
pmo pier 3,cpa port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,501
pmo pier 3,cpa port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,4
pmo pier 3,cpa port,Yacht,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 1,cpa port,Conventional Bulk,Domestic,January,2022,Jan-22,Q1_2022,12
pmo pier 1,cpa port,Fastcraft,Domestic,January,2022,Jan-22,Q1_2022,256
pmo pier 1,cpa port,Motor Launch,Domestic,January,2022,Jan-22,Q1_2022,5
pmo pier 1,cpa port,Motor Tug,Domestic,January,2022,Jan-22,Q1_2022,6
pmo pier 1,cpa port,Roro,Domestic,January,2022,Jan-22,Q1_2022,181
pmo pier 1,cpa port,Conventional Bulk,Foreign,January,2022,Jan-22,Q1_2022,5
pmo pier 1,private port,Container,Domestic,January,2022,Jan-22,Q1_2022,15
pmo pier 1,private port,Conventional Breakbulk,Domestic,January,2022,Jan-22,Q1_2022,8
pmo pier 1,private port,Conventional Bulk,Domestic,January,2022,Jan-22,Q1_2022,3
pmo pier 1,private port,Motor Tug,Domestic,January,2022,Jan-22,Q1_2022,2
pmo pier 1,private port,Roro,Domestic,January,2022,Jan-22,Q1_2022,4
pmo pier 1,cpa port,Anchorage Breakbulk,Domestic,January,2022,Jan-22,Q1_2022,6
pmo pier 1,cpa port,Anchorage Bulk,Domestic,January,2022,Jan-22,Q1_2022,6
pmo pier 1,cpa port,Anchorage Motor Tug,Domestic,January,2022,Jan-22,Q1_2022,5
pmo pier 1,cpa port,Anchorage Roro,Domestic,January,2022,Jan-22,Q1_2022,5
pmo pier 1,cpa port,Anchorage Breakbulk,Foreign,January,2022,Jan-22,Q1_2022,1
pmo pier 1,cpa port,Anchorage Bulk,Foreign,January,2022,Jan-22,Q1_2022,4
pmo mandaue,private port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,217
pmo mandaue,private port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,30
pmo mandaue,private port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Roro,domestic,january,2022,Jan-22,Q1_2022,210
pmo mandaue,private port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,3
pmo mandaue,private port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,33
pmo mandaue,private port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,49
pmo mandaue,private port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,9
pmo mandaue,private port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,8
pmo mandaue,private port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,6
pmo mandaue,private port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,1
pmo mandaue,private port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Roro,domestic,january,2022,Jan-22,Q1_2022,16
pmo mandaue,cpa port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,672
pmo mandaue,cpa port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Roro,domestic,january,2022,Jan-22,Q1_2022,15
pmo mandaue,lgu port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,652
pmo mandaue,lgu port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,3
pmo danao,cpa port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,5
pmo danao,cpa port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Roro,domestic,january,2022,Jan-22,Q1_2022,297
pmo danao,cpa port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,47
pmo danao,cpa port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,1
pmo danao,cpa port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,2
pmo danao,cpa port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,5
pmo danao,cpa port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Cruise Ship,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Survey Vessel,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Anchorage Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Container,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,14
pmo danao,lgu port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Container,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Breakbulk,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Container,foreign,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Anchorage Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
