name,url,covers,tier,note
Cebu Port Authority statistics,https://www.cpa.gov.ph/,"Monthly cargo, container, passenger, rolling cargo and ship call volumes, 2022-2025",primary,Published as monthly operational statistics workbooks
OpenStreetMap Cebu road extract (HOTOSM via HDX),https://data.humdata.org/dataset/hotosm_phl_roads,"Road segments by highway class",primary,Volunteer-mapped road network
