gender,names,people,pct_of_covered,people_per_name,source
Male,480,38851941,52.09,80942,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
Female,520,35729816,47.91,68711,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
