year,month,advancing,declining,unchanged,counted,advancing_share_pct,universe,source
2023,10,14,55,5,74,18.9,80,PSE Edge
2023,11,42,28,3,73,57.5,80,PSE Edge
2023,12,55,17,1,73,75.3,80,PSE Edge
2024,1,47,27,0,74,63.5,80,PSE Edge
2024,2,43,28,3,74,58.1,80,PSE Edge
2024,3,35,39,1,75,46.7,80,PSE Edge
2024,4,32,41,2,75,42.7,80,PSE Edge
2024,5,40,35,0,75,53.3,80,PSE Edge
2024,6,32,43,1,76,42.1,80,PSE Edge
2024,7,44,30,2,76,57.9,80,PSE Edge
2024,8,47,27,2,76,61.8,80,PSE Edge
2024,9,60,18,0,78,76.9,80,PSE Edge
2024,10,32,44,2,78,41.0,80,PSE Edge
2024,11,17,57,3,77,22.1,80,PSE Edge
2024,12,41,35,1,77,53.2,80,PSE Edge
2025,1,26,50,1,77,33.8,80,PSE Edge
2025,2,45,31,1,77,58.4,80,PSE Edge
2025,3,43,33,1,77,55.8,80,PSE Edge
2025,4,39,36,2,77,50.6,80,PSE Edge
2025,5,37,39,2,78,47.4,80,PSE Edge
2025,6,54,21,1,76,71.1,80,PSE Edge
2025,7,33,40,3,76,43.4,80,PSE Edge
2025,8,33,42,2,77,42.9,80,PSE Edge
2025,9,27,50,1,78,34.6,80,PSE Edge
2025,10,24,51,3,78,30.8,80,PSE Edge
2025,11,41,35,2,78,52.6,80,PSE Edge
2025,12,46,32,2,80,57.5,80,PSE Edge
2026,1,45,33,2,80,56.2,80,PSE Edge
2026,2,51,27,2,80,63.7,80,PSE Edge
2026,3,17,63,0,80,21.2,80,PSE Edge
2026,4,41,35,4,80,51.2,80,PSE Edge
2026,5,33,45,2,80,41.2,80,PSE Edge
2026,6,37,41,1,79,46.8,80,PSE Edge
2026,7,48,28,3,79,60.8,80,PSE Edge
2026,8,35,43,1,79,44.3,80,PSE Edge
2026,9,44,27,6,77,57.1,80,PSE Edge
