iso3,country,region,income_group,year,population,has_water_basic,has_water_safely_managed,has_sanitation_safely_managed,status,source
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,2021,5892183,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
COL,Colombia,Latin America & Caribbean ,Upper middle income,2024,52886363,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
COM,Comoros,Sub-Saharan Africa ,Lower middle income,2024,866628,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,2024,524877,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CRI,Costa Rica,Latin America & Caribbean ,High income,2024,5129910,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CUB,Cuba,Latin America & Caribbean ,Upper middle income,2024,10979783,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CUW,Curacao,Latin America & Caribbean ,High income,2024,155967,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CYM,Cayman Islands,Latin America & Caribbean ,High income,2024,74457,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CYP,Cyprus,Europe & Central Asia,High income,2024,1358282,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CZE,Czechia,Europe & Central Asia,High income,2024,10905028,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DEU,Germany,Europe & Central Asia,High income,2024,83516593,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,1168722,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DMA,Dominica,Latin America & Caribbean ,Upper middle income,2024,66205,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DNK,Denmark,Europe & Central Asia,High income,2024,5976992,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,2024,11427557,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,46814308,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,2024,18135478,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,116538258,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ERI,Eritrea,Sub-Saharan Africa ,Low income,2016,3124698,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ESP,Spain,Europe & Central Asia,High income,2024,48848840,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
EST,Estonia,Europe & Central Asia,High income,2024,1372341,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ETH,Ethiopia,Sub-Saharan Africa ,Low income,2024,132059767,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FIN,Finland,Europe & Central Asia,High income,2024,5619911,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FJI,Fiji,East Asia & Pacific,Upper middle income,2024,928784,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FRA,France,Europe & Central Asia,High income,2024,68551653,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FRO,Faroe Islands,Europe & Central Asia,High income,2024,54640,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
