iso3,country,region,income_group,year,population,has_water_basic,has_water_safely_managed,has_sanitation_safely_managed,status,source
SMR,San Marino,Europe & Central Asia,High income,2024,33977,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,2024,19009151,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SRB,Serbia,Europe & Central Asia,Upper middle income,2024,6586476,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SSD,South Sudan,Sub-Saharan Africa ,Low income,2024,11943408,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,2024,235536,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SUR,Suriname,Latin America & Caribbean ,Upper middle income,2024,634431,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SVK,Slovak Republic,Europe & Central Asia,High income,2024,5422069,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SVN,Slovenia,Europe & Central Asia,High income,2024,2127400,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SWE,Sweden,Europe & Central Asia,High income,2024,10569709,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,2024,1242822,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,2017,38996,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SYC,Seychelles,Sub-Saharan Africa ,High income,2024,121354,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,24672760,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,2024,46535,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TCD,Chad,Sub-Saharan Africa ,Low income,2024,20299123,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TGO,Togo,Sub-Saharan Africa ,Lower middle income,2024,8406558,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
THA,Thailand,East Asia & Pacific,Upper middle income,2024,71668011,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2024,10590927,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2024,7494498,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2024,1400638,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TON,Tonga,East Asia & Pacific,Upper middle income,2024,104175,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,2024,1368333,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,12277109,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TUR,Turkiye,Europe & Central Asia,Upper middle income,2024,85518661,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TUV,Tuvalu,East Asia & Pacific,Upper middle income,2024,9646,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,2024,68560157,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
UGA,Uganda,Sub-Saharan Africa ,Low income,2024,50015092,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
UKR,Ukraine,Europe & Central Asia,Upper middle income,2024,37860221,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
URY,Uruguay,Latin America & Caribbean ,High income,2024,3386588,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
USA,United States,North America,High income,2024,340003797,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2024,36361859,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,2018,104926,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VEN,"Venezuela, RB",Latin America & Caribbean ,Lower middle income,2024,28405543,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VGB,British Virgin Islands,Latin America & Caribbean ,High income,2024,39471,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,2024,104377,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VNM,Viet Nam,East Asia & Pacific,Upper middle income,2024,100987686,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2024,327777,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
WSM,Samoa,East Asia & Pacific,Upper middle income,2024,218019,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,40583164,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,2024,64007187,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,2024,21314956,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,2024,16634373,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
