iso3,country,year,residence,indicator,pct,source
ABW,Aruba,2015,total,sanitation_basic,98.5642,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2015,total,water_basic,96.7398,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2016,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2016,total,open_defecation,0.9573,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2016,total,sanitation_basic,98.6036,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2016,total,water_basic,96.7398,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2017,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2017,total,open_defecation,0.9407,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2017,total,sanitation_basic,98.643,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2018,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2018,total,open_defecation,0.9241,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2018,total,sanitation_basic,98.6824,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2019,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2019,total,open_defecation,0.9075,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2019,total,sanitation_basic,98.7218,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2020,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2020,total,open_defecation,0.891,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2020,total,sanitation_basic,98.7612,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2021,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2021,total,open_defecation,0.8744,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2021,total,sanitation_basic,98.8006,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2022,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2022,total,open_defecation,0.8578,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2022,total,sanitation_basic,98.84,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2023,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2023,total,open_defecation,0.8578,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2023,total,sanitation_basic,98.84,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2024,total,handwashing_basic,98.6072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2024,total,open_defecation,0.8578,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ABW,Aruba,2024,total,sanitation_basic,98.84,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,rural,sanitation_basic,19.5686,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,rural,sanitation_safely_managed,10.278,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,rural,water_basic,21.9773,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,rural,water_safely_managed,8.5357,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,total,open_defecation,23.9509,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,total,sanitation_basic,22.2983,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,total,sanitation_safely_managed,10.1321,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,total,water_basic,29.731,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,total,water_safely_managed,11.4831,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,urban,sanitation_basic,31.9325,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,urban,sanitation_safely_managed,9.6171,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,urban,water_basic,57.0968,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2000,urban,water_safely_managed,21.8853,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,rural,sanitation_basic,19.5686,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,rural,sanitation_safely_managed,10.278,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,rural,water_basic,21.9773,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,rural,water_safely_managed,8.5357,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,total,open_defecation,23.9296,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,total,sanitation_basic,22.3095,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,total,sanitation_safely_managed,10.1315,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,total,water_basic,29.7629,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,total,water_safely_managed,11.4952,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,urban,sanitation_basic,31.9325,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,urban,sanitation_safely_managed,9.6171,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,urban,water_basic,57.0968,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2001,urban,water_safely_managed,21.8853,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,rural,sanitation_basic,20.9556,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,rural,sanitation_safely_managed,11.0143,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,rural,water_basic,24.0908,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,rural,water_safely_managed,9.3566,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,total,open_defecation,23.373,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,total,sanitation_basic,23.7347,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,total,sanitation_safely_managed,10.854,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,total,water_basic,31.8361,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,total,water_safely_managed,12.2981,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,urban,sanitation_basic,33.44,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
