scope,year,residence,indicator,pct,source
AFR,2003,total,sanitation_safely_managed,19.1124,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,total,water_basic,50.0073,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,total,water_safely_managed,20.9099,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,urban,open_defecation,8.0161,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,urban,sanitation_basic,41.3505,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,urban,sanitation_safely_managed,27.0858,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,urban,water_basic,80.0002,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2003,urban,water_safely_managed,45.6534,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,rural,open_defecation,37.5244,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,rural,sanitation_basic,18.5356,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,rural,sanitation_safely_managed,15.2609,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,rural,water_basic,35.1828,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,rural,water_safely_managed,8.2701,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,total,open_defecation,27.2095,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,total,sanitation_basic,26.6804,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,total,sanitation_safely_managed,19.4565,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,total,water_basic,50.8774,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,total,water_safely_managed,21.3752,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,urban,open_defecation,7.8635,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,urban,sanitation_basic,41.7505,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,urban,sanitation_safely_managed,27.3361,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,urban,water_basic,80.2812,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2004,urban,water_safely_managed,45.9881,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,rural,open_defecation,36.8513,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,rural,sanitation_basic,18.9347,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,rural,sanitation_safely_managed,15.6195,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,rural,water_basic,36.0579,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,rural,water_safely_managed,8.545,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,total,open_defecation,26.5804,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,total,sanitation_basic,27.1901,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,total,sanitation_safely_managed,19.8329,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,total,water_basic,51.7573,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,total,water_safely_managed,21.8446,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,urban,open_defecation,7.7131,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
