iso3,year,indicator,who_gho,world_bank,abs_diff,source
COL,2022,open_defecation,2.0000,2.4903,0.4903,WHO GHO (rounded) vs World Bank WDI
KEN,2005,open_defecation,15.0000,14.5099,0.4901,WHO GHO (rounded) vs World Bank WDI
SSD,2019,open_defecation,66.0000,65.5100,0.4900,WHO GHO (rounded) vs World Bank WDI
GNQ,2010,open_defecation,5.0000,4.5105,0.4895,WHO GHO (rounded) vs World Bank WDI
CHL,2007,open_defecation,2.0000,1.5111,0.4889,WHO GHO (rounded) vs World Bank WDI
GUM,2008,open_defecation,0.0000,0.4888,0.4888,WHO GHO (rounded) vs World Bank WDI
COL,2013,open_defecation,5.0000,4.5114,0.4886,WHO GHO (rounded) vs World Bank WDI
FJI,2000,open_defecation,1.0000,0.5114,0.4886,WHO GHO (rounded) vs World Bank WDI
IRN,2005,open_defecation,0.0000,0.4886,0.4886,WHO GHO (rounded) vs World Bank WDI
DZA,2010,open_defecation,2.0000,2.4885,0.4885,WHO GHO (rounded) vs World Bank WDI
DMA,2007,open_defecation,11.0000,10.5116,0.4884,WHO GHO (rounded) vs World Bank WDI
MOZ,2009,open_defecation,43.0000,42.5116,0.4884,WHO GHO (rounded) vs World Bank WDI
VCT,2013,open_defecation,3.0000,2.5118,0.4882,WHO GHO (rounded) vs World Bank WDI
BRA,2009,open_defecation,5.0000,4.5119,0.4881,WHO GHO (rounded) vs World Bank WDI
SOM,2009,open_defecation,41.0000,41.4880,0.4880,WHO GHO (rounded) vs World Bank WDI
TUN,2014,open_defecation,3.0000,2.5120,0.4880,WHO GHO (rounded) vs World Bank WDI
IDN,2014,open_defecation,13.0000,13.4876,0.4876,WHO GHO (rounded) vs World Bank WDI
TUR,2005,open_defecation,0.0000,0.4876,0.4876,WHO GHO (rounded) vs World Bank WDI
CIV,2023,open_defecation,17.0000,17.4875,0.4875,WHO GHO (rounded) vs World Bank WDI
URY,2016,open_defecation,0.0000,0.4872,0.4872,WHO GHO (rounded) vs World Bank WDI
KHM,2001,open_defecation,84.0000,84.4871,0.4871,WHO GHO (rounded) vs World Bank WDI
AFG,2007,open_defecation,21.0000,20.5131,0.4869,WHO GHO (rounded) vs World Bank WDI
ETH,2015,open_defecation,37.0000,36.5136,0.4864,WHO GHO (rounded) vs World Bank WDI
NRU,2011,open_defecation,2.0000,1.5136,0.4864,WHO GHO (rounded) vs World Bank WDI
CHN,2001,open_defecation,2.0000,2.4862,0.4862,WHO GHO (rounded) vs World Bank WDI
TUR,2004,open_defecation,1.0000,0.5138,0.4862,WHO GHO (rounded) vs World Bank WDI
GIN,2007,open_defecation,22.0000,21.5139,0.4861,WHO GHO (rounded) vs World Bank WDI
ZMB,2004,open_defecation,25.0000,24.5139,0.4861,WHO GHO (rounded) vs World Bank WDI
RWA,2020,open_defecation,2.0000,1.5141,0.4859,WHO GHO (rounded) vs World Bank WDI
URY,2004,open_defecation,1.0000,1.4859,0.4859,WHO GHO (rounded) vs World Bank WDI
BGD,2006,open_defecation,11.0000,10.5142,0.4858,WHO GHO (rounded) vs World Bank WDI
BDI,2002,open_defecation,3.0000,2.5143,0.4857,WHO GHO (rounded) vs World Bank WDI
GRD,2005,open_defecation,3.0000,2.5146,0.4854,WHO GHO (rounded) vs World Bank WDI
VCT,2000,open_defecation,1.0000,1.4853,0.4853,WHO GHO (rounded) vs World Bank WDI
GRC,2001,open_defecation,0.0000,0.4851,0.4851,WHO GHO (rounded) vs World Bank WDI
KHM,2000,open_defecation,88.0000,87.5150,0.4850,WHO GHO (rounded) vs World Bank WDI
MYS,2001,open_defecation,1.0000,1.4848,0.4848,WHO GHO (rounded) vs World Bank WDI
NGA,2015,open_defecation,21.0000,20.5152,0.4848,WHO GHO (rounded) vs World Bank WDI
ETH,2012,open_defecation,44.0000,43.5154,0.4846,WHO GHO (rounded) vs World Bank WDI
CUW,2009,open_defecation,0.0000,0.4845,0.4845,WHO GHO (rounded) vs World Bank WDI
CPV,2019,open_defecation,12.0000,12.4843,0.4843,WHO GHO (rounded) vs World Bank WDI
CAF,2012,open_defecation,24.0000,24.4842,0.4842,WHO GHO (rounded) vs World Bank WDI
COG,2006,open_defecation,8.0000,8.4841,0.4841,WHO GHO (rounded) vs World Bank WDI
GUY,2017,open_defecation,1.0000,0.5161,0.4839,WHO GHO (rounded) vs World Bank WDI
TUV,2018,open_defecation,4.0000,3.5162,0.4838,WHO GHO (rounded) vs World Bank WDI
PYF,2001,open_defecation,2.0000,1.5163,0.4837,WHO GHO (rounded) vs World Bank WDI
BTN,2020,open_defecation,0.0000,0.4834,0.4834,WHO GHO (rounded) vs World Bank WDI
DJI,2008,open_defecation,18.0000,18.4830,0.4830,WHO GHO (rounded) vs World Bank WDI
THA,2010,open_defecation,0.0000,0.4829,0.4829,WHO GHO (rounded) vs World Bank WDI
VUT,2013,open_defecation,3.0000,2.5172,0.4828,WHO GHO (rounded) vs World Bank WDI
COD,2012,open_defecation,12.0000,11.5173,0.4827,WHO GHO (rounded) vs World Bank WDI
MHL,2002,open_defecation,13.0000,13.4824,0.4824,WHO GHO (rounded) vs World Bank WDI
IRN,2002,open_defecation,1.0000,0.5177,0.4823,WHO GHO (rounded) vs World Bank WDI
HND,2018,open_defecation,7.0000,6.5179,0.4821,WHO GHO (rounded) vs World Bank WDI
TJK,2021,open_defecation,0.0000,0.4821,0.4821,WHO GHO (rounded) vs World Bank WDI
URY,2000,open_defecation,2.0000,1.5180,0.4820,WHO GHO (rounded) vs World Bank WDI
MWI,2021,open_defecation,3.0000,3.4818,0.4818,WHO GHO (rounded) vs World Bank WDI
KIR,2008,open_defecation,44.0000,43.5183,0.4817,WHO GHO (rounded) vs World Bank WDI
GIN,2022,open_defecation,7.0000,6.5185,0.4815,WHO GHO (rounded) vs World Bank WDI
BWA,2007,open_defecation,16.0000,16.4814,0.4814,WHO GHO (rounded) vs World Bank WDI
STP,2003,open_defecation,67.0000,67.4814,0.4814,WHO GHO (rounded) vs World Bank WDI
KEN,2018,open_defecation,9.0000,8.5187,0.4813,WHO GHO (rounded) vs World Bank WDI
CAF,2005,open_defecation,24.0000,23.5190,0.4810,WHO GHO (rounded) vs World Bank WDI
GRC,2000,open_defecation,1.0000,0.5192,0.4808,WHO GHO (rounded) vs World Bank WDI
ZAF,2005,open_defecation,8.0000,8.4803,0.4803,WHO GHO (rounded) vs World Bank WDI
BRN,2019,open_defecation,1.0000,0.5200,0.4800,WHO GHO (rounded) vs World Bank WDI
MWI,2019,open_defecation,5.0000,4.5200,0.4800,WHO GHO (rounded) vs World Bank WDI
CPV,2002,open_defecation,47.0000,46.5204,0.4796,WHO GHO (rounded) vs World Bank WDI
MRT,2007,open_defecation,46.0000,45.5207,0.4793,WHO GHO (rounded) vs World Bank WDI
COM,2018,open_defecation,2.0000,1.5209,0.4791,WHO GHO (rounded) vs World Bank WDI
IRN,2006,open_defecation,0.0000,0.4791,0.4791,WHO GHO (rounded) vs World Bank WDI
MMR,2004,open_defecation,9.0000,9.4791,0.4791,WHO GHO (rounded) vs World Bank WDI
NER,2019,open_defecation,69.0000,69.4789,0.4789,WHO GHO (rounded) vs World Bank WDI
