iso3,country,region,income_group,year,population,water_basic_pct,water_safely_managed_pct,basic_minus_safely_pts,sanitation_basic_pct,sanitation_safely_managed_pct,open_defecation_pct,handwashing_basic_pct,water_safely_managed_urban_pct,water_safely_managed_rural_pct,wash_deaths_per_100k,source
NZL,New Zealand,East Asia & Pacific,High income,2024,5290000,100.0,100.0,0.0,100.0,88.8,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,5281538,92.67,91.1,1.57,99.32,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,251269164,90.69,44.97,45.72,71.88,,8.17,84.77,45.43,44.69,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PAN,Panama,Latin America & Caribbean ,High income,2024,4515577,95.26,,,89.05,,3.08,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PER,Peru,Latin America & Caribbean ,Upper middle income,2024,34217848,95.64,49.43,46.21,78.77,56.49,1.92,,56.24,23.59,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PHL,Philippines,East Asia & Pacific,Upper middle income,2024,115843670,95.86,48.48,47.38,87.15,62.17,2.18,97.29,62.22,35.49,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PLW,Palau,East Asia & Pacific,High income,2024,17695,99.53,90.78,8.75,99.02,,0,,97.7,57.33,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2024,10576502,53.3,,,23.57,16.66,15.64,35.43,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
POL,Poland,Europe & Central Asia,High income,2024,36559233,90.12,88.68,1.44,98.96,97.83,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRI,Puerto Rico (US),Latin America & Caribbean ,High income,2024,3202521,100.0,98.94,1.06,100.0,32.51,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2023,26418204,93.91,66.61,27.3,84.82,,0,,76.96,48.83,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRT,Portugal,Europe & Central Asia,High income,2024,10694681,99.29,95.22,4.07,99.66,93.92,0,,96.96,91.43,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,2024,6929153,99.6,64.36,35.24,95.93,58.53,0.34,,72.21,50.73,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,5289152,98.77,80.64,18.13,99.4,73.51,0.13,94.91,81.86,76.37,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
PYF,French Polynesia,East Asia & Pacific,High income,2024,281807,100.0,90.45,9.55,97.51,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,2857822,99.99,95.35,4.64,99.94,99.94,0.06,100.0,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ROU,Romania,Europe & Central Asia,High income,2024,19051804,100.0,82.18,17.82,90.54,89.8,0,,94.95,66.65,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
RUS,Russian Federation,Europe & Central Asia,High income,2024,143669648,96.9,76.26,20.64,92.22,58.19,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
RWA,Rwanda,Sub-Saharan Africa ,Low income,2024,14256567,61.39,,,81.33,,1.12,18.45,53.43,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,35300280,99.04,,,97.61,83.89,0.13,98.43,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SDN,Sudan,Sub-Saharan Africa ,Low income,2024,50448963,64.89,,,65.71,,16.39,10.76,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,2024,18501984,88.04,27.19,60.85,62.52,30.08,6.14,26.9,41.13,13.22,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SGP,Singapore,East Asia & Pacific,High income,2024,6036860,100.0,100.0,0.0,100.0,100.0,0,,100.0,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2024,819198,71.61,,,34.65,,45.34,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,2024,8642022,68.08,10.9,57.18,24.91,16.85,15.35,18.74,12.5,9.6,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,2024,6338193,91.62,,,88.04,35.97,1.2,88.24,75.71,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SMR,San Marino,Europe & Central Asia,High income,2024,33977,100.0,100.0,0.0,100.0,90.19,0,,100.0,100.0,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,2024,19009151,75.29,,,44.46,16.38,14.44,16.49,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SRB,Serbia,Europe & Central Asia,Upper middle income,2024,6586476,95.4,74.97,20.43,97.94,24.07,0.06,,81.6,66.04,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SSD,South Sudan,Sub-Saharan Africa ,Low income,2024,11943408,39.75,,,14.43,,62.8,21.94,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,2024,235536,77.96,36.68,41.28,48.68,34.69,33.35,58.31,40.3,24.55,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SUR,Suriname,Latin America & Caribbean ,Upper middle income,2024,634431,98.0,55.85,42.15,90.0,25.13,1.21,,63.41,40.81,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SVK,Slovak Republic,Europe & Central Asia,High income,2024,5422069,99.79,99.57,0.22,97.54,83.43,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SVN,Slovenia,Europe & Central Asia,High income,2024,2127400,99.57,99.57,0.0,98.31,84.54,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SWE,Sweden,Europe & Central Asia,High income,2024,10569709,99.76,99.76,0.0,98.74,95.35,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,2024,1242822,80.37,38.22,42.15,64.46,60.84,0.36,39.32,76.88,25.32,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,2017,38996,99.31,,,98.78,,0.13,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SYC,Seychelles,Sub-Saharan Africa ,High income,2024,121354,97.73,64.7,33.03,99.7,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,24672760,94.13,,,95.65,,,84.5,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,2024,46535,98.83,47.05,51.78,93.15,33.91,0.01,95.0,46.54,55.65,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TCD,Chad,Sub-Saharan Africa ,Low income,2024,20299123,52.21,6.34,45.87,13.14,11.09,62.22,26.27,17.59,2.65,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TGO,Togo,Sub-Saharan Africa ,Lower middle income,2024,8406558,64.79,20.52,44.27,25.17,13.02,32.19,,34.61,8.97,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
THA,Thailand,East Asia & Pacific,Upper middle income,2024,71668011,100.0,,,99.35,26.72,0,94.63,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2024,10590927,89.19,65.11,24.08,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2024,7494498,99.92,94.85,5.07,99.74,,0,100.0,96.94,92.35,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2024,1400638,87.33,,,72.94,,7.88,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TON,Tonga,East Asia & Pacific,Upper middle income,2024,104175,98.86,29.6,69.26,93.93,31.25,0.08,80.94,50.88,23.17,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,2024,1368333,99.25,69.37,29.88,94.18,38.02,0.19,84.12,73.08,65.08,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,12277109,96.73,64.98,31.75,98.54,79.79,0.25,92.74,67.89,57.89,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TUR,Turkiye,Europe & Central Asia,Upper middle income,2024,85518661,95.99,,,99.28,78.86,0.14,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TUV,Tuvalu,East Asia & Pacific,Upper middle income,2024,9646,98.74,8.72,90.02,89.67,39.71,1.83,93.91,10.38,5.37,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,2024,68560157,64.61,31.33,33.28,37.22,28.46,6.76,17.46,45.17,22.79,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
UGA,Uganda,Sub-Saharan Africa ,Low income,2024,50015092,63.01,18.1,44.91,23.9,20.36,3.53,24.56,39.97,9.85,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
UKR,Ukraine,Europe & Central Asia,Upper middle income,2024,37860221,93.48,87.87,5.61,97.73,92.39,0.0,95.38,88.28,86.89,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
URY,Uruguay,Latin America & Caribbean ,High income,2024,3386588,99.63,,,99.15,,0,,94.59,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
USA,United States,North America,High income,2024,340003797,99.98,97.57,2.41,99.62,97.01,0,,97.68,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2024,36361859,97.29,81.93,15.36,96.55,74.6,0.05,81.65,88.92,74.76,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,2018,104926,97.73,,,89.7,,2.53,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VEN,"Venezuela, RB",Latin America & Caribbean ,Lower middle income,2024,28405543,93.33,,,98.4,26.02,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VGB,British Virgin Islands,Latin America & Caribbean ,High income,2024,39471,99.86,,,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,2024,104377,99.47,98.68,0.79,99.26,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VNM,Viet Nam,East Asia & Pacific,Upper middle income,2024,100987686,98.76,58.58,40.18,95.45,45.37,0,89.11,75.82,46.99,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2024,327777,87.12,19.2,67.92,47.81,,4.96,48.41,38.25,12.45,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
WSM,Samoa,East Asia & Pacific,Upper middle income,2024,218019,99.44,62.5,36.94,97.1,44.12,0.16,71.94,91.96,56.29,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,40583164,75.04,,,63.08,43.12,4.9,63.35,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,2024,64007187,90.19,68.01,22.18,77.38,73.78,0.28,,75.62,50.83,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,2024,21314956,73.41,,,37.48,,2.05,18.38,50.18,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,2024,16634373,67.21,25.46,41.75,34.64,23.56,12.63,42.51,55.43,10.92,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
