iso3,country,region,income_group,year,population,water_basic_pct,water_safely_managed_pct,basic_minus_safely_pts,sanitation_basic_pct,sanitation_safely_managed_pct,open_defecation_pct,handwashing_basic_pct,water_safely_managed_urban_pct,water_safely_managed_rural_pct,wash_deaths_per_100k,source
CHL,Chile,Latin America & Caribbean ,High income,2024,19764771,99.08,97.82,1.26,100.0,95.13,0,,99.24,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CHN,China,East Asia & Pacific,Upper middle income,2024,1408975000,96.12,,,97.27,68.87,0,97.27,96.43,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,2024,31934230,77.25,36.45,40.8,40.41,27.1,16.69,22.01,51.46,19.08,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,2024,29123744,71.41,,,47.07,,4.44,37.8,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,2024,109276265,35.68,11.87,23.81,16.3,13.08,11.66,,24.15,0.51,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,2021,5892183,73.49,45.87,27.62,20.55,,8.35,,58.63,18.42,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
COL,Colombia,Latin America & Caribbean ,Upper middle income,2024,52886363,97.1,74.34,22.76,96.58,18.69,2.09,70.43,81.81,38.74,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
COM,Comoros,Sub-Saharan Africa ,Lower middle income,2024,866628,85.05,,,57.22,49.36,1.81,34.78,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,2024,524877,92.28,,,83.13,,3.42,60.87,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CRI,Costa Rica,Latin America & Caribbean ,High income,2024,5129910,99.82,80.5,19.32,98.79,26.29,0.06,85.99,80.39,81.05,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
