fac_id,name,city,country,continent,net_count,ix_count,carrier_count,latitude,longitude,source
13896,Nxtra Data Hyderabad Edge DC1,Hyderabad,IN,Asia Pacific,1,0,0,,,"PeeringDB, peeringdb.com/api"
13900,Croydon,Croydon,GB,Europe,0,0,0,51.384888,-0.137056,"PeeringDB, peeringdb.com/api"
13901,Gtd Colombia - Medellin,Medellin,CO,South America,9,1,1,6.216228,-75.573769,"PeeringDB, peeringdb.com/api"
13903,Equinix BG2 - Bogota,Bogota,CO,South America,39,2,0,4.671921,-74.155782,"PeeringDB, peeringdb.com/api"
13908,Nxtra Data Bhubaneswar DC1,Bhubaneswar,IN,Asia Pacific,1,0,0,20.340792,85.805797,"PeeringDB, peeringdb.com/api"
13914,PIX Sempre (Brasil TecPar),Belo Horizonte,BR,South America,3,1,0,-19.929073,-44.024492,"PeeringDB, peeringdb.com/api"
13915,Global Zone,Askar,BH,Middle East,1,0,0,26.0418,50.3643,"PeeringDB, peeringdb.com/api"
13918,Digital Realty Bersama - CGK10,West Jakarta,ID,Asia Pacific,27,2,0,-6.159053,106.690627,"PeeringDB, peeringdb.com/api"
13928,NTT Com Asia Hong Kong Financial Data Center,Tseung Kwan O,HK,Asia Pacific,9,2,0,22.285605,114.272624,"PeeringDB, peeringdb.com/api"
13931,SpaceNet Limited,Dhaka,BD,Asia Pacific,1,0,0,23.746942,90.401441,"PeeringDB, peeringdb.com/api"
13934,NorthC Winterthur (Zürich),Winterthur,CH,Europe,8,1,1,47.503127,8.727571,"PeeringDB, peeringdb.com/api"
13938,IaaS Datacenter Madrid,Madrid,ES,Europe,20,1,2,40.439748,-3.624212,"PeeringDB, peeringdb.com/api"
13939,Biznet Technovillage,Cimanggis,ID,Asia Pacific,11,1,0,,,"PeeringDB, peeringdb.com/api"
13946,OADC FIH1 - Kinshasa,Kinshasa,CD,Africa,8,2,0,-4.321422,15.275475,"PeeringDB, peeringdb.com/api"
13947,OADC CPT2 - Brackenfell,Cape Town,ZA,Africa,1,1,0,,,"PeeringDB, peeringdb.com/api"
13954,Viva Argishti,Yerevan,AM,Asia Pacific,0,0,0,40.174262,44.50242,"PeeringDB, peeringdb.com/api"
13955,Viva Karekin_Njdeh,Yerevan,AM,Asia Pacific,0,0,0,40.151291,44.483126,"PeeringDB, peeringdb.com/api"
13959,Civicos Networking - IAAS (MADRID),Madrid,ES,Europe,0,0,0,40.439748,-3.624212,"PeeringDB, peeringdb.com/api"
13969,EnBITCon GmbH,Bonn,DE,Europe,0,0,0,50.700793,7.134015,"PeeringDB, peeringdb.com/api"
13972,NTT Data (MEA) - Johannesburg 1 Data Center (JOH1),Centurion,ZA,Africa,3,0,1,-25.920644,28.143972,"PeeringDB, peeringdb.com/api"
13974,Microtronix Datacenter Ottoville,Ottoville,US,North America,2,0,0,40.929554,-84.341921,"PeeringDB, peeringdb.com/api"
13975,SKYLINK DATA CENTERS,Naples,US,North America,2,0,0,26.167743,-81.799835,"PeeringDB, peeringdb.com/api"
13982,WORLDBUS,Tbilisi,GE,Asia Pacific,0,0,0,,,"PeeringDB, peeringdb.com/api"
13985,Aviano_A,Aviano,IT,Europe,0,0,0,46.066181,12.594673,"PeeringDB, peeringdb.com/api"
13987,LuxConnect DC1.2 - Bettembourg,Bettembourg,LU,Europe,12,2,2,49.504919,6.113522,"PeeringDB, peeringdb.com/api"
13988,LuxConnect DC1.3 - Bettembourg,Bettembourg,LU,Europe,12,2,2,49.504919,6.113522,"PeeringDB, peeringdb.com/api"
13992,Biznet Surabaya,Surabaya  East Java,ID,Asia Pacific,4,1,0,-7.273023,112.74282,"PeeringDB, peeringdb.com/api"
13993,Biznet Denpasar,Denpasar,ID,Asia Pacific,1,2,0,-8.678272,115.205088,"PeeringDB, peeringdb.com/api"
13994,Biznet Malang,Malang  East Java,ID,Asia Pacific,3,1,0,-7.943487,112.648076,"PeeringDB, peeringdb.com/api"
13999,EcoDataCenter Falun,Falun,SE,Europe,2,0,0,60.610531,15.610386,"PeeringDB, peeringdb.com/api"
14005,FPT Fornix HCM 01,Ho Chi Minh,VN,Asia Pacific,13,0,0,10.755807,106.742932,"PeeringDB, peeringdb.com/api"
14006,Lighthouse Data Center (Houston),Houston,US,North America,4,0,0,,,"PeeringDB, peeringdb.com/api"
14008,Genova Digital Hub,Genoa,IT,Europe,1,1,0,44.42589,8.918518,"PeeringDB, peeringdb.com/api"
14009,BMDC,Baku,AZ,Asia Pacific,1,0,0,40.414639,49.835034,"PeeringDB, peeringdb.com/api"
14016,Dolphin Coast Wireless & Fiber Solutions,Ballito,ZA,Africa,0,0,0,-29.53543,31.213872,"PeeringDB, peeringdb.com/api"
14018,DC-MJK Computing ID,Kab. Mojokerto,ID,Asia Pacific,0,1,0,-7.432079,112.414072,"PeeringDB, peeringdb.com/api"
14020,Templus DC Madrid MAD03,Madrid,ES,Europe,8,1,0,40.438822,-3.623048,"PeeringDB, peeringdb.com/api"
