landing_point_id,name,longitude,latitude,source
lusk-ireland,Lusk  Ireland,-6.165888193558025,53.52625445974578,"TeleGeography Submarine Cable Map, submarinecablemap.com"
tobruk-libya,Tobruk  Libya,23.960311167883617,32.079604155442446,"TeleGeography Submarine Cable Map, submarinecablemap.com"
al-bayda-libya,Al Bayda  Libya,21.74166039584776,32.88172722141822,"TeleGeography Submarine Cable Map, submarinecablemap.com"
tolmeta-libya,Tolmeta  Libya,20.949961737944495,32.71673198238239,"TeleGeography Submarine Cable Map, submarinecablemap.com"
benghazi-libya,Benghazi  Libya,20.066759238613432,32.11658375707056,"TeleGeography Submarine Cable Map, submarinecablemap.com"
brega-libya,Brega  Libya,19.576525210899817,30.378108493012235,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ras-lanuf-libya,Ras Lanuf  Libya,18.41187759844718,30.586737502695293,"TeleGeography Submarine Cable Map, submarinecablemap.com"
sirte-libya,Sirte  Libya,16.588343734005548,31.205251640496304,"TeleGeography Submarine Cable Map, submarinecablemap.com"
misuratah-libya,Misuratah  Libya,15.094790104552972,32.37427884369104,"TeleGeography Submarine Cable Map, submarinecablemap.com"
al-khums-libya,Al Khums  Libya,14.26441959904531,32.64966152384897,"TeleGeography Submarine Cable Map, submarinecablemap.com"
zawia-libya,Zawia  Libya,12.529752859149395,32.774720416295295,"TeleGeography Submarine Cable Map, submarinecablemap.com"
zuwara-libya,Zuwara  Libya,12.083366456623823,32.93337907602355,"TeleGeography Submarine Cable Map, submarinecablemap.com"
hermosa-beach-ca-united-states,Hermosa Beach  CA  United States,-118.39954892055475,33.862232632157735,"TeleGeography Submarine Cable Map, submarinecablemap.com"
sandy-point-vic-australia,Sandy Point  VIC  Australia,146.11969728527944,-38.82018266620627,"TeleGeography Submarine Cable Map, submarinecablemap.com"
four-mile-bluff-tas-australia,Four Mile Bluff  TAS  Australia,146.85016551780996,-41.03327707528322,"TeleGeography Submarine Cable Map, submarinecablemap.com"
mcgaurans-beach-vic-australia,McGaurans Beach  VIC  Australia,147.07125911118302,-38.44361560267599,"TeleGeography Submarine Cable Map, submarinecablemap.com"
stanley-tas-australia,Stanley  TAS  Australia,145.29411193263084,-40.760375144220674,"TeleGeography Submarine Cable Map, submarinecablemap.com"
inverloch-vic-australia,Inverloch  VIC  Australia,145.72946318672496,-38.63345276915476,"TeleGeography Submarine Cable Map, submarinecablemap.com"
