band,events,share_pct,threshold,box,source
M4.5-4.9,7186,78.1,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
M5.0-5.9,1862,20.2,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
M6.0-6.9,136,1.5,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
M7.0+,19,0.2,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
